age,experience,education,job_level,department,job_role,performance_rating,projects_completed,certifications,weekly_hours,overtime_hours,team_size,leadership_score,skill_match,years_in_role,promotion_count,employment_type,location_type,company_size,job_satisfaction,salary
47,3,Masters,Mid,HR,Analyst,2,9,9,46,7,3,1.6055017586087226,4.919712211806937,9,3,Contract,Semi-Urban,Large,3,61784.15641277705
32,18,PhD,Mid,Finance,Manager,2,8,2,46,15,1,8.317461668755088,1.5827976892240163,6,2,Full-time,Semi-Urban,Large,1,92230.8188958239
22,26,Bachelors,Junior,Finance,Clerk,5,4,1,52,6,11,1.6730259597329908,4.112754269461447,4,0,Part-time,Rural,Small,3,114691.33108308673
43,21,Bachelors,Mid,Sales,Engineer,2,9,4,39,11,10,6.166889455668429,1.2625026124039382,4,1,Full-time,Semi-Urban,Large,3,88443.89259055315
35,2,PhD,Junior,Finance,Analyst,3,5,2,55,9,8,6.386020515528825,2.732435628100713,5,2,Part-time,Semi-Urban,Small,3,59399.94326924968
22,23,Masters,Senior,HR,Engineer,3,8,0,58,8,11,2.9530871299964065,7.910299697422971,9,1,Part-time,Rural,Medium,5,100551.44676690396
30,24,PhD,Mid,Sales,Manager,5,14,4,54,8,14,2.9403848499339222,7.5583677499964015,3,4,Contract,Urban,Small,1,96799.4261499296
21,8,Bachelors,Senior,HR,Clerk,5,5,6,30,2,6,2.4329785176385874,1.8670688257674568,2,3,Contract,Rural,Large,1,79576.46110855954
45,26,PhD,Junior,Sales,Analyst,3,3,4,52,7,7,5.161135601696814,3.691446441905224,5,0,Contract,Semi-Urban,Medium,5,94991.87133198309
36,9,Bachelors,Senior,Sales,Manager,4,2,2,44,7,4,4.508147218879024,9.98197362213435,5,2,Part-time,Urban,Medium,5,95470.51556544023
25,1,PhD,Mid,IT,Clerk,3,16,3,31,16,5,6.197173297568043,1.946247020390142,7,4,Full-time,Rural,Large,2,52068.66972203621
52,0,PhD,Mid,Sales,Analyst,5,16,5,30,12,3,9.804372629471708,4.326241774587137,6,0,Contract,Semi-Urban,Small,1,53211.86275897627
29,22,Masters,Mid,Sales,Clerk,5,11,1,57,8,6,1.9368993818432816,8.529514660958153,1,2,Full-time,Rural,Medium,3,97633.31697499308
40,20,Masters,Junior,HR,Analyst,5,13,9,35,7,1,5.650408290264599,7.337643818392933,2,0,Full-time,Urban,Small,2,105400.58087233613
43,2,Masters,Junior,IT,Analyst,1,14,6,32,7,2,3.7728321661189312,6.33284713969025,3,2,Part-time,Urban,Medium,2,47903.24873374723
44,11,Bachelors,Senior,Finance,Clerk,4,3,6,37,4,2,4.3935092995561815,4.986225961366271,3,2,Full-time,Semi-Urban,Small,3,76353.9804531957
46,6,Masters,Senior,IT,Analyst,5,11,9,45,8,6,6.172612048406189,3.04719048712738,5,0,Full-time,Rural,Large,4,81211.24063295904
22,12,PhD,Mid,IT,Manager,5,10,7,33,14,1,5.611802705991634,2.377097596870577,4,2,Contract,Rural,Small,5,94741.31982223631
50,7,Masters,Mid,HR,Analyst,4,17,1,39,19,13,2.144753909200256,2.3149199876247795,1,4,Full-time,Semi-Urban,Small,3,50943.65789434999
24,16,PhD,Senior,IT,Engineer,1,2,2,57,12,14,2.949780940098442,1.723624306537754,8,2,Part-time,Semi-Urban,Medium,4,70877.13010794375
55,7,Bachelors,Junior,Finance,Manager,3,1,2,59,3,11,7.1747940706956985,3.866120138866088,0,1,Contract,Semi-Urban,Large,5,74161.138237335
49,28,PhD,Senior,IT,Engineer,1,3,6,48,18,13,4.051615276446746,2.042141382220972,6,2,Full-time,Semi-Urban,Medium,1,96472.18493511192
51,25,Masters,Senior,IT,Clerk,4,17,8,44,12,12,4.2618764949822125,7.316728585034278,8,1,Full-time,Urban,Large,3,104195.95079702334
34,2,Masters,Junior,Sales,Analyst,2,4,2,52,14,14,2.7483644257374733,3.2616980396187376,5,2,Contract,Urban,Medium,1,41862.402073279954
25,4,Masters,Senior,Finance,Manager,1,17,0,49,0,9,6.753276007609792,6.645221611719597,4,0,Part-time,Urban,Small,5,63566.541941673306
21,17,Masters,Mid,Finance,Analyst,3,18,8,39,13,2,1.4400993939083506,1.4222640273195044,8,2,Full-time,Rural,Large,1,89728.81622669176
32,14,Bachelors,Mid,Sales,Engineer,5,11,6,48,13,5,7.295706153321367,4.983092500651492,8,0,Full-time,Urban,Large,1,83227.41715410317
24,24,Bachelors,Mid,Finance,Analyst,4,11,2,43,14,7,7.602303655115131,7.72266979651692,4,2,Full-time,Urban,Large,2,114036.50741093545
56,16,Bachelors,Mid,Finance,Analyst,2,4,9,34,6,3,6.64531059861657,3.564770516761924,7,2,Part-time,Semi-Urban,Medium,4,97797.03521873087
45,19,Bachelors,Mid,Sales,Manager,2,15,0,32,12,3,8.49413934737973,2.454671193670884,2,4,Part-time,Urban,Medium,3,104949.7447797848
26,22,Masters,Junior,IT,Clerk,4,17,1,44,19,9,6.594911172729857,9.971953685454842,7,0,Contract,Urban,Large,5,120909.25559527568
42,26,Masters,Junior,IT,Clerk,1,16,7,39,11,13,7.079470694707039,9.986797456161687,4,3,Full-time,Semi-Urban,Small,2,118258.62764210108
48,23,Bachelors,Senior,Sales,Analyst,3,3,7,44,6,6,1.13898192250165,3.859071299140829,2,3,Part-time,Rural,Medium,3,94774.86748147065
48,4,Masters,Mid,Finance,Engineer,4,7,9,57,13,5,3.078136249729564,1.3479471064362016,9,4,Full-time,Urban,Large,3,46252.672777453
24,13,Masters,Senior,Sales,Analyst,3,16,0,38,15,6,5.464051568771112,9.846390345469985,1,1,Part-time,Rural,Large,4,79999.71998333509
37,5,Bachelors,Junior,HR,Engineer,5,6,5,37,12,12,2.4228630557955158,9.926000224728636,2,3,Part-time,Rural,Medium,2,68190.06332546988
36,0,Masters,Junior,Finance,Engineer,2,2,9,32,19,11,4.723933345253367,7.973367265692505,9,1,Part-time,Rural,Large,5,70202.97406408438
56,6,Masters,Mid,HR,Engineer,3,4,6,54,8,1,2.490966655547888,4.153046251558811,5,0,Part-time,Rural,Medium,1,56504.62215741846
55,25,PhD,Junior,HR,Manager,4,6,6,47,11,9,5.311009310264259,2.1481508135816347,8,1,Full-time,Semi-Urban,Small,2,90458.79028656222
38,10,PhD,Junior,IT,Manager,1,10,6,37,7,12,6.195834777212245,5.578170141068485,0,1,Contract,Semi-Urban,Large,4,79245.63894649442
31,12,Masters,Senior,Sales,Engineer,2,9,9,56,1,10,5.181523407538381,9.858816480985,4,0,Contract,Rural,Medium,2,95518.10318472038
58,28,PhD,Senior,IT,Manager,4,2,9,36,11,11,8.218634838049274,7.090569745200096,7,2,Full-time,Rural,Large,5,133596.31853228938
36,18,Masters,Mid,HR,Manager,3,13,6,53,0,2,6.641045576184116,1.837833524915656,8,2,Full-time,Semi-Urban,Large,3,98635.44580608288
50,3,Masters,Junior,Finance,Analyst,2,19,8,30,3,6,7.982277525355766,8.644853831188664,5,4,Full-time,Urban,Large,1,62997.10212278216
32,23,Masters,Senior,Sales,Analyst,2,16,1,37,0,12,5.987589483492663,6.035535074836769,5,0,Full-time,Urban,Large,5,85716.2315732968
42,21,Bachelors,Senior,HR,Engineer,4,17,9,44,5,13,4.696668626971787,9.1229689639091,3,1,Full-time,Rural,Small,1,92637.23138366271
42,2,Bachelors,Mid,Sales,Manager,4,12,7,33,1,12,7.437125137975019,4.910552616243548,4,4,Contract,Rural,Medium,4,49532.78827746728
49,4,Bachelors,Senior,HR,Analyst,1,15,1,32,6,11,8.722735474786601,3.555157687881596,7,1,Part-time,Rural,Small,5,69126.92470024452
40,6,PhD,Senior,IT,Analyst,1,10,9,51,10,14,3.3699307829566347,3.7160003134798494,0,4,Part-time,Urban,Medium,1,61775.131159132456
46,25,Bachelors,Mid,IT,Engineer,2,4,8,42,7,10,6.477867853472006,3.394342813921736,2,4,Part-time,Urban,Large,2,92125.07923017807
45,18,PhD,Mid,Finance,Clerk,3,12,9,33,16,4,2.326840843626408,2.1219634382476267,9,4,Full-time,Rural,Small,5,83162.19696952356
55,11,Bachelors,Senior,Sales,Engineer,4,19,6,56,10,5,4.712250900304789,4.477901081957958,7,3,Part-time,Rural,Medium,5,83356.73219865434
55,2,Masters,Mid,Sales,Clerk,2,9,0,41,1,12,3.4917636717008644,4.405479690029286,8,2,Full-time,Semi-Urban,Large,2,41523.339299736006
27,3,PhD,Senior,Sales,Manager,5,7,8,31,18,12,6.41704754521528,5.618502913649645,0,0,Full-time,Semi-Urban,Large,5,67979.25104159486
24,1,Masters,Mid,HR,Manager,3,18,3,45,7,5,5.195515696871711,5.18767221659839,8,4,Full-time,Semi-Urban,Small,2,57747.722356789774
45,11,PhD,Junior,IT,Manager,1,3,3,45,17,2,2.6614766909159338,6.814029719665246,7,0,Full-time,Urban,Large,2,78694.31235451423
54,29,Bachelors,Junior,HR,Analyst,4,10,6,36,2,10,6.078664282159437,2.349630547062418,0,2,Part-time,Urban,Small,5,119074.22093863436
36,27,Bachelors,Junior,Finance,Manager,4,6,6,52,19,4,2.5470818840445166,3.9109037448220185,6,1,Part-time,Urban,Medium,5,107000.16637783092
33,6,PhD,Junior,IT,Clerk,4,13,1,48,10,12,2.800110376382821,9.99158751303998,9,3,Part-time,Rural,Small,3,72728.0153920308
58,21,Masters,Senior,IT,Analyst,5,8,8,56,4,10,3.666481367763261,7.181619953809142,1,0,Full-time,Rural,Medium,4,94994.42531233424
45,1,PhD,Senior,Finance,Engineer,5,10,3,49,16,1,7.150431781234471,9.573933813795884,5,1,Full-time,Urban,Large,1,70886.15235778953
51,7,Bachelors,Senior,IT,Engineer,5,1,7,51,2,11,9.351654895861136,8.527303455261652,6,2,Full-time,Semi-Urban,Large,2,76416.41904217511
27,2,Masters,Junior,IT,Analyst,5,5,2,55,12,10,1.6789465814799645,6.324302924670876,0,1,Part-time,Rural,Large,3,51401.11009108502
26,26,Masters,Senior,IT,Manager,3,8,0,46,11,2,8.886946109105374,4.40314079087732,5,0,Full-time,Semi-Urban,Small,2,100779.71505815817
34,1,Masters,Senior,IT,Clerk,4,6,3,47,5,9,6.322343914184859,9.590883654723047,5,1,Part-time,Urban,Small,2,51899.40429985251
25,4,Masters,Mid,Sales,Engineer,5,5,9,38,16,9,2.697264321932755,6.042316373092381,4,2,Part-time,Urban,Large,3,70389.04396964361
58,29,Masters,Senior,HR,Manager,5,11,8,48,5,10,8.468222078617485,4.771477846252296,2,0,Full-time,Rural,Small,5,125430.99549412024
28,15,PhD,Junior,HR,Clerk,1,11,1,32,8,4,3.716024259270383,2.9155633161777006,7,2,Contract,Semi-Urban,Small,4,80767.70023868361
37,11,Bachelors,Junior,Sales,Analyst,1,19,6,45,14,14,2.2908936763396914,5.923532589790058,8,2,Part-time,Urban,Small,5,76125.13278408776
55,14,PhD,Senior,Finance,Analyst,3,9,1,49,16,4,6.419333729068407,2.887663406059143,2,2,Part-time,Urban,Medium,5,83143.52981633937
36,22,Bachelors,Junior,Sales,Engineer,5,11,9,41,9,4,3.555836943367616,8.946620220927283,7,4,Full-time,Semi-Urban,Medium,2,98887.78120848036
43,10,Bachelors,Senior,Sales,Engineer,2,16,7,34,9,3,2.47454648879058,5.274242071934983,6,3,Part-time,Rural,Medium,1,83240.63697511256
27,23,Masters,Mid,IT,Clerk,2,3,4,42,5,11,7.97242350378253,4.965613615756739,5,0,Full-time,Rural,Small,3,93128.1598426906
45,22,PhD,Mid,HR,Engineer,2,14,1,37,13,7,4.4583289669753166,5.377547721670894,0,4,Full-time,Urban,Large,5,88530.38623298038
48,15,Masters,Senior,Finance,Manager,4,14,4,47,0,13,7.126727426870676,4.356866868383973,9,2,Contract,Urban,Small,2,77297.96766893144
37,18,Bachelors,Junior,Finance,Clerk,4,2,0,41,15,5,5.812467950139822,3.75775989112738,7,3,Part-time,Urban,Large,4,99234.77981949269
22,26,Bachelors,Junior,IT,Engineer,1,9,9,47,6,14,8.841642941676746,2.1203192065345338,5,1,Part-time,Semi-Urban,Small,3,114815.0259895182
40,1,PhD,Junior,IT,Analyst,3,2,6,50,13,10,5.330083823536712,9.583490906970203,2,4,Contract,Rural,Small,1,63939.27291190096
57,15,Bachelors,Mid,IT,Manager,4,11,6,47,10,1,2.5070140896561752,5.042276684064841,3,3,Full-time,Semi-Urban,Medium,1,86709.74611053399
43,9,Bachelors,Junior,Sales,Engineer,2,14,9,30,1,14,3.955506544977773,5.8798512631721005,9,3,Part-time,Urban,Small,4,84420.32806078429
52,14,PhD,Junior,IT,Analyst,1,17,1,59,17,11,9.8620370653824,8.282732053329596,3,1,Part-time,Semi-Urban,Medium,2,95516.31552937791
44,25,PhD,Mid,HR,Analyst,1,7,8,58,5,12,7.529104182204241,5.79039678932942,6,4,Part-time,Urban,Large,5,101745.58032939954
46,26,Bachelors,Mid,IT,Analyst,2,4,8,56,8,3,5.6740668292068674,5.213737137304161,5,0,Part-time,Urban,Medium,4,101127.55139397188
24,8,PhD,Senior,IT,Engineer,3,6,7,56,19,6,9.282809134073004,5.316371543648607,5,4,Full-time,Semi-Urban,Small,4,71944.45498645134
35,14,Masters,Junior,HR,Engineer,1,19,9,35,13,13,7.275041884267482,7.485768272898623,0,4,Full-time,Urban,Small,3,69277.96381174584
49,26,Bachelors,Senior,Finance,Engineer,4,17,1,40,5,11,4.1548396785217685,7.276017327225237,4,3,Full-time,Rural,Medium,2,117251.06047119205
42,1,Bachelors,Senior,IT,Engineer,2,5,0,32,16,13,1.929466118282284,1.4908822338595606,3,4,Full-time,Semi-Urban,Medium,1,56891.52479891376
47,9,Masters,Mid,IT,Clerk,1,3,0,54,7,2,6.6189124495805,2.727342071923384,4,3,Contract,Semi-Urban,Small,2,67753.72293588857
37,29,PhD,Mid,Finance,Analyst,2,9,6,36,2,13,8.140049058126193,2.7847582788533574,9,4,Part-time,Semi-Urban,Small,5,100995.75899275024
28,11,PhD,Junior,Sales,Engineer,5,12,4,33,14,3,1.985910247574744,5.02387228596621,8,1,Full-time,Rural,Large,4,69443.55699073419
29,28,PhD,Senior,IT,Analyst,3,2,9,30,6,7,5.003917063307892,3.6664494120601216,9,0,Full-time,Semi-Urban,Small,4,108891.65635778004
54,19,Masters,Junior,IT,Clerk,1,4,4,37,8,10,4.723238966526151,7.877431380093141,6,0,Full-time,Urban,Medium,2,76318.15662263792
32,14,PhD,Mid,Sales,Analyst,2,9,1,41,15,2,6.136263390594982,7.159643285871355,7,2,Full-time,Rural,Medium,1,97572.8353336406
30,21,Bachelors,Mid,HR,Manager,5,4,0,54,17,9,7.553821414288765,5.151107708724357,7,3,Part-time,Rural,Medium,2,120411.150664758
36,27,Bachelors,Senior,Finance,Clerk,2,18,9,35,8,1,6.205779531408492,7.781422373927959,5,2,Contract,Semi-Urban,Large,2,108761.48638012203
57,7,Bachelors,Mid,Sales,Clerk,1,2,7,47,17,3,4.654982469407856,3.839639537496111,0,1,Contract,Urban,Small,4,46433.54991440319
48,14,Bachelors,Mid,HR,Manager,1,4,3,37,17,11,1.6354245614174858,9.87769007037171,6,1,Full-time,Urban,Large,2,71340.65264586353
46,25,Bachelors,Mid,HR,Clerk,5,2,8,42,15,4,5.987560937886688,6.999757618098662,3,1,Contract,Rural,Small,5,115012.27007960508
46,2,Bachelors,Mid,IT,Manager,3,3,2,39,4,9,8.063812269689418,6.053601513111939,1,3,Contract,Urban,Medium,5,54061.13408542374
21,11,Bachelors,Junior,Finance,Engineer,5,12,6,36,15,5,7.196147337914636,9.239637730564084,4,4,Contract,Semi-Urban,Large,2,80453.71261459154
23,2,PhD,Senior,HR,Clerk,5,1,1,37,10,2,2.244037868681165,9.717595762300087,6,0,Contract,Urban,Small,2,63044.15278344127
44,16,Bachelors,Junior,IT,Engineer,5,18,9,42,12,7,6.275317320115636,9.457339719296511,5,2,Full-time,Semi-Urban,Medium,3,109010.12498327144
48,14,PhD,Mid,IT,Manager,2,11,8,40,19,5,2.2974686626445724,2.0910105049274907,8,4,Part-time,Urban,Small,1,74459.68126855756
51,29,Bachelors,Senior,Finance,Manager,2,5,3,36,11,14,8.414394882683506,9.301310681266637,1,3,Part-time,Rural,Small,4,127968.96770020347
31,13,PhD,Mid,HR,Clerk,3,13,8,52,2,8,6.557704969387021,1.06647795674714,3,0,Full-time,Urban,Large,3,82322.4785174836
29,21,Bachelors,Junior,Finance,Manager,5,6,9,57,12,11,6.106541794517111,2.673031288085887,8,2,Part-time,Semi-Urban,Medium,1,90024.17934022017
58,17,Bachelors,Junior,HR,Manager,1,6,8,54,5,1,5.675067184501006,3.543917306553949,9,3,Contract,Rural,Large,4,69022.76795236574
26,1,Bachelors,Senior,IT,Clerk,3,8,9,36,12,3,2.6231049546220904,1.5013000030617865,2,2,Part-time,Urban,Small,3,53037.66495829624
44,27,PhD,Senior,HR,Clerk,1,8,8,52,14,4,9.918465337240246,4.085191814922007,6,0,Full-time,Semi-Urban,Large,1,110404.69551514668
41,6,Bachelors,Senior,Sales,Manager,2,8,2,46,7,9,4.69555786246583,8.096600553102732,5,4,Part-time,Rural,Medium,3,73916.47852618911
41,8,Masters,Mid,Sales,Manager,3,18,4,37,1,5,7.967351462043134,5.394132315498553,6,4,Full-time,Rural,Small,4,87418.31024064141
34,13,PhD,Junior,Finance,Engineer,5,14,7,55,14,8,1.9525356494070891,5.901315617596781,9,2,Full-time,Rural,Medium,5,82579.11439052323
51,21,Masters,Junior,HR,Engineer,4,7,2,57,3,9,7.460019853239725,6.070054748344365,1,0,Part-time,Urban,Medium,1,100561.08555125297
53,19,Masters,Mid,HR,Clerk,4,19,0,55,11,3,7.3454884642891,8.83902128769376,0,2,Full-time,Rural,Small,1,97581.3140095216
27,21,PhD,Junior,IT,Engineer,5,13,3,57,3,8,2.485308458724904,3.436619223896862,4,4,Part-time,Rural,Small,3,100967.25152740114
41,27,Masters,Senior,HR,Clerk,2,8,3,57,17,4,8.49835248048495,8.93449275915965,5,0,Contract,Semi-Urban,Small,1,112080.74379147652
33,26,PhD,Mid,Finance,Manager,3,14,1,53,3,11,7.556814044615375,2.036093784463057,4,2,Part-time,Urban,Medium,2,92308.12658597104
57,14,Bachelors,Senior,IT,Manager,4,3,9,40,9,10,7.7165926916921155,8.414387848302098,9,2,Contract,Rural,Large,4,103393.85810965464
52,8,Bachelors,Senior,Sales,Analyst,3,8,7,35,18,11,3.9711580100495656,3.870881983298765,7,1,Part-time,Urban,Medium,4,75173.21639000808
30,6,PhD,Mid,IT,Engineer,5,12,9,56,8,11,6.019136852320048,9.140243547269792,8,0,Part-time,Urban,Small,3,82725.4291090438
42,3,PhD,Mid,IT,Clerk,5,10,2,50,12,13,3.9456878657876735,8.446224015380688,3,3,Part-time,Rural,Small,5,64396.1566842445
26,26,Masters,Mid,Sales,Clerk,1,17,0,41,5,12,7.150920328745628,5.123772966305701,4,4,Part-time,Urban,Large,2,114986.44788831248
55,24,Bachelors,Mid,HR,Clerk,4,16,0,54,8,13,4.999186424699792,1.67855085222024,8,3,Part-time,Urban,Small,2,89578.44744736409
25,12,Bachelors,Junior,Sales,Engineer,1,9,5,42,2,5,3.1588586062454445,5.432153487817631,7,2,Full-time,Semi-Urban,Small,3,60835.4427916266
28,4,Masters,Junior,IT,Engineer,1,17,0,52,1,10,3.8429364200791887,6.406888804700728,5,2,Contract,Urban,Small,1,64479.20298572006
30,6,Masters,Junior,Finance,Engineer,5,19,9,34,1,11,6.868990199427147,7.2515909192450305,5,0,Contract,Urban,Medium,3,73879.89930252118
48,1,Masters,Junior,Finance,Analyst,1,17,4,35,12,2,5.393269730678197,3.9431889908458,0,4,Part-time,Rural,Large,1,45302.09651969316
57,24,Masters,Mid,HR,Engineer,2,7,2,31,10,12,7.548238492279203,4.775470608578623,1,2,Full-time,Urban,Medium,1,91726.80322257357
38,16,PhD,Junior,Finance,Engineer,3,15,3,36,7,2,1.9117407040284464,9.682937688925085,5,2,Contract,Semi-Urban,Small,1,96437.26593073856
53,23,Masters,Senior,Sales,Analyst,3,19,5,41,11,10,4.224973683903102,5.544575725419004,6,3,Contract,Rural,Small,2,86966.4645544059
55,25,Bachelors,Senior,HR,Engineer,2,6,4,46,3,12,6.6514806946435305,5.4824683535491125,7,1,Full-time,Rural,Medium,5,115306.44271890246
30,0,Masters,Senior,Finance,Engineer,1,5,2,50,13,2,8.56745127793492,1.14001698246267,9,2,Part-time,Rural,Large,1,49403.47165689012
41,22,Bachelors,Senior,Finance,Manager,2,7,3,40,15,12,8.602502805039956,8.123280107645241,0,3,Part-time,Urban,Large,4,118037.43893421424
39,20,Masters,Junior,Sales,Clerk,2,17,2,42,17,7,2.2750241052518083,2.226779420184311,7,1,Contract,Rural,Large,1,72070.15940947298
30,4,Masters,Senior,Sales,Analyst,4,8,3,45,14,10,1.8240520340764133,6.477917643879132,3,4,Contract,Urban,Medium,5,53118.55320673137
55,8,PhD,Mid,Sales,Clerk,1,2,6,32,13,7,1.7258945027482584,1.3482604354586294,5,0,Full-time,Urban,Medium,3,62926.80702529861
40,16,Bachelors,Mid,HR,Manager,5,9,2,45,7,10,2.066054945407486,8.905218896966934,7,0,Contract,Urban,Large,1,108809.3176217678
33,5,PhD,Mid,Sales,Clerk,5,3,4,53,10,7,2.6437223896660003,8.366868808493209,5,2,Part-time,Urban,Medium,2,74801.96495985785
